Top 20 Features based on Random Forest Decision Importances:
                   Feature  Importance
3    airbladderTotalLength    0.241597
0              totalLength    0.159579
1                   weight    0.053623
2                      sex    0.035260
6                      F46    0.017738
5                    F45.5    0.011919
4                      F45    0.010455
235                 F243.5    0.008742
187                 F219.5    0.008533
243                 F247.5    0.008021
188                   F220    0.007453
227                 F239.5    0.007332
189                 F220.5    0.007125
64                     F75    0.006668
267                 F259.5    0.006177
190                   F221    0.005702
93                   F89.5    0.005693
228                   F240    0.005417
234                   F243    0.005295
42                     F64    0.005180
