Top 20 Features based on MLP Input Weights:
                   Feature  Importance
0              totalLength   59.217752
1                   weight   46.497941
3    airbladderTotalLength   38.232832
2                      sex   18.062693
20                     F53    5.747837
263                 F257.5    5.709038
264                   F258    5.633609
231                 F241.5    5.617083
254                   F253    5.500850
176                   F214    5.474938
268                   F260    5.459174
260                   F256    5.447944
4                      F45    5.377706
123                 F187.5    5.340965
235                 F243.5    5.339279
95                  F173.5    5.306186
266                   F259    5.305166
201                 F226.5    5.295300
259                 F255.5    5.276271
5                    F45.5    5.270753
