Top 20 Features based on Random Forest Decision Importances:
    Feature  Importance
1     F45.5    0.029995
2       F46    0.019482
231  F243.5    0.017584
60      F75    0.014937
184    F220    0.014637
183  F219.5    0.012848
0       F45    0.012819
61    F75.5    0.012587
197  F226.5    0.010409
62      F76    0.010200
224    F240    0.009384
181  F218.5    0.009341
167  F211.5    0.009222
89    F89.5    0.008661
182    F219    0.008424
3     F46.5    0.008135
263  F259.5    0.007991
239  F247.5    0.007754
31    F60.5    0.007721
32      F61    0.007597
