Top 20 Features based on MLP Input Weights:
   Feature  Importance
0      F45   26.355109
4      F47   21.694309
89   F89.5   21.453992
10     F50   19.650862
57   F73.5   19.583011
90    F173   19.492092
5    F47.5   19.386095
30     F60   19.302300
1    F45.5   19.300325
87   F88.5   19.260069
18     F54   19.079521
52     F71   19.079511
12     F51   19.065036
60     F75   18.920941
2      F46   18.912251
21   F55.5   18.892512
3    F46.5   18.675359
11   F50.5   18.584550
45   F67.5   18.492279
39   F64.5   18.352145
